Lon Lat H AAL
-74.675 5.6492 185 -74.6
-74.6584 5.6492 171 -77.8
-74.6417 5.6492 159 -78
-74.625 5.6492 159 -75.8
-75.9084 5.6327 1799 62.3
-75.8917 5.6327 1737 54.7
-75.875 5.6327 1455 67
-75.8583 5.6327 1583 96.2
-75.8417 5.6327 1833 134.3
-75.825 5.6327 2193 174.7
-75.8083 5.6327 2281 208.6
-75.7917 5.6327 2549 231
-75.775 5.6327 2641 238
-75.7584 5.6327 2743 229.3
-75.7417 5.6327 2723 207.2
-75.725 5.6327 2121 174.8
-75.7083 5.6327 1607 137.2
-75.6917 5.6327 1323 97.6
-75.675 5.6327 1091 59.8
-75.6584 5.6327 983 25.6
-75.6417 5.6327 1115 -3
-75.625 5.6327 1069 -25.3
-75.6083 5.6327 1007 -40.1
-75.5917 5.6327 787 -46.9
-75.575 5.6327 891 -45.4
-75.5583 5.6327 1031 -36
-75.5417 5.6327 1199 -20.4
-75.525 5.6327 1371 -0.8
-75.5084 5.6327 1097 19
-75.4917 5.6327 1543 36.4
-75.475 5.6327 1689 48
-75.4583 5.6327 1757 53.4
-75.4417 5.6327 2047 53.7
-75.425 5.6327 1945 51.5
-75.4084 5.6327 2019 51.8
-75.3917 5.6327 1499 58.4
-75.375 5.6327 1251 74.8
-75.3583 5.6327 1587 102.1
-75.3417 5.6327 2059 137.5
-75.325 5.6327 2115 177.1
-75.3083 5.6327 2351 213.2
-75.2917 5.6327 2365 240.2
-75.275 5.6327 2691 251.5
-75.2584 5.6327 2781 244.9
-75.2417 5.6327 2213 221
-75.225 5.6327 1859 182.8
-75.2083 5.6327 1823 137.5
-75.1917 5.6327 1803 90.6
-75.175 5.6327 1743 49.4
-75.1584 5.6327 1703 17.1
-75.1417 5.6327 1535 -4
-75.125 5.6327 1189 -15
-75.1083 5.6327 883 -18.3
-75.0917 5.6327 705 -16.8
-75.075 5.6327 1095 -13.6
-75.0583 5.6327 1177 -10.3
-75.0417 5.6327 809 -7.6
-75.025 5.6327 873 -5.3
-75.0084 5.6327 1283 -2.5
-74.9917 5.6327 1187 0.9
-74.975 5.6327 877 4.5
-74.9583 5.6327 861 7.4
-74.9417 5.6327 861 8
-74.925 5.6327 857 5.1
-74.9084 5.6327 615 -1.7
-74.8917 5.6327 633 -12.1
-74.875 5.6327 505 -24.3
-74.8583 5.6327 567 -36.5
-74.8417 5.6327 437 -46.1
-74.825 5.6327 357 -52.2
-74.8083 5.6327 287 -54.5
-74.7917 5.6327 201 -53.7
-74.775 5.6327 235 -52
-74.7584 5.6327 223 -51.1
-74.7417 5.6327 207 -52.6
-74.725 5.6327 193 -57
-74.7083 5.6327 187 -63.6
-74.6917 5.6327 189 -70.9
-74.675 5.6327 179 -76.9
-74.6584 5.6327 167 -80.3
-74.6417 5.6327 161 -80.8
-74.625 5.6327 161 -78.7
-75.9084 5.6161 1655 77.8
-75.8917 5.6161 1601 64.6
-75.875 5.6161 1561 73.3
-75.8583 5.6161 1781 100.6
-75.8417 5.6161 1921 138.7
-75.825 5.6161 1901 180.8
-75.8083 5.6161 2065 217.7
-75.7917 5.6161 2257 244
-75.775 5.6161 2503 255.6
-75.7584 5.6161 2767 251.7
-75.7417 5.6161 2761 234.2
-75.725 5.6161 2407 205.8
