Lon Lat H AAL
-74.3583 5.8151 267 -67
-74.3417 5.8151 363 -56.7
-74.325 5.8151 431 -45.4
-74.3083 5.8151 609 -34.2
-74.2917 5.8151 901 -23.8
-74.275 5.8151 993 -15.7
-74.2584 5.8151 1201 -11
-74.2417 5.8151 1003 -11.1
-74.225 5.8151 761 -16.4
-74.2083 5.8151 757 -26.7
-74.1917 5.8151 767 -40.8
-74.175 5.8151 661 -56.3
-74.1584 5.8151 585 -70.9
-74.1417 5.8151 857 -81.6
-74.125 5.8151 731 -86.5
-74.1083 5.8151 579 -84.6
-74.0917 5.8151 477 -76.1
-74.075 5.8151 391 -62.7
-74.0583 5.8151 487 -46.1
-74.0417 5.8151 863 -29.1
-74.025 5.8151 1265 -13
-74.0084 5.8151 1379 0.8
-73.9917 5.8151 1761 12.9
-73.975 5.8151 1767 24
-73.9583 5.8151 1889 35.5
-73.9417 5.8151 1963 48.5
-73.925 5.8151 2093 63.7
-73.9084 5.8151 2101 80.2
-73.8917 5.8151 2241 97.2
-73.875 5.8151 2197 112.2
-73.8583 5.8151 2277 124
-73.8417 5.8151 2203 130.8
-73.825 5.8151 1989 132.6
-73.8083 5.8151 1911 130.2
-73.7917 5.8151 1957 125.2
-73.775 5.8151 2071 120
-73.7584 5.8151 2207 116.4
-73.7417 5.8151 2209 115.7
-73.725 5.8151 2059 118.6
-73.7083 5.8151 1995 124.1
-73.6917 5.8151 2139 131.3
-73.675 5.8151 2107 138
-73.6584 5.8151 2117 143.1
-73.6417 5.8151 2137 145.4
-73.625 5.8151 2245 144.9
-73.6083 5.8151 2003 142.4
-73.5917 5.8151 1907 138.7
-73.575 5.8151 1887 135.7
-73.5583 5.8151 2101 134.4
-73.5417 5.8151 2273 135.6
-73.525 5.8151 2423 139.6
-73.5084 5.8151 2545 145.9
-73.4917 5.8151 2611 154
-73.475 5.8151 2701 163.1
-73.4583 5.8151 2513 172.7
-73.4417 5.8151 2243 182.5
-73.425 5.8151 2185 192.9
-73.4084 5.8151 2263 203.8
-73.3917 5.8151 2373 215.6
-73.375 5.8151 2811 228
-73.3583 5.8151 3369 241
-73.3417 5.8151 2757 253.1
-73.325 5.8151 2923 263.6
-73.3083 5.8151 2925 271.1
-73.2917 5.8151 2767 274.7
-73.275 5.8151 2863 274.1
-73.2584 5.8151 3207 269.3
-73.2417 5.8151 3349 261.2
-73.225 5.8151 3177 250.8
-73.2083 5.8151 2985 239.5
-73.1917 5.8151 2973 228.1
-73.175 5.8151 3015 217.6
-73.1584 5.8151 3063 208
-73.1417 5.8151 3121 199.3
-73.125 5.8151 2979 191.1
-73.1083 5.8151 2831 183.3
-73.0917 5.8151 2709 176.1
-73.075 5.8151 2551 170.1
-73.0583 5.8151 2657 166
-73.0417 5.8151 2593 164.7
-73.025 5.8151 2505 166.7
-73.0084 5.8151 2525 171.7
-72.9917 5.8151 2537 178.6
-72.975 5.8151 2503 185.3
-72.9583 5.8151 2729 190
-72.9417 5.8151 2869 190.3
-72.925 5.8151 2689 185.5
-74.9084 5.7985 785 -6.1
-74.8917 5.7985 839 -1.8
-74.875 5.7985 651 -0.5
-74.8583 5.7985 623 -2.8
-74.8417 5.7985 461 -8.2
-74.825 5.7985 417 -15.4
-74.8083 5.7985 453 -22.4
-74.7917 5.7985 371 -27.9
-74.775 5.7985 277 -31.3
-74.7584 5.7985 191 -32.9
-74.7417 5.7985 179 -33.9
-74.725 5.7985 195 -35.4
